Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.UTCGregorian           
0                         7.058686505823871         0                         8000                      0                         0                         10 Oct 2022 00:00:00.000   
-0.3739185362515          7.049493450710718         -1.927844546207254e-07    7988.780016540073         423.3443851812012         -6.387608648164277e-06    10 Oct 2022 00:01:00.000   
-0.9782054002852303       6.992508843005745         -2.825343899658266e-07    7922.902691332912         1107.49939946114          -3.147253150605425e-05    10 Oct 2022 00:02:37.384   
-1.678973181875773        6.859549543067314         -1.585191748494056e-07    7770.716963964938         1900.862596798839         -5.831701713726642e-05    10 Oct 2022 00:04:31.835   
-2.375067789055826        6.652233072072809         4.567191623620115e-08     7534.277536735745         2688.901449635206         -6.472882960327375e-05    10 Oct 2022 00:06:28.376   
-3.047524708765481        6.37387222780627          1.386800816133299e-07     7217.382095477466         3450.149174226823         -5.19750956878577e-05     10 Oct 2022 00:08:25.153   
-3.68787040271577         6.027688102108553         -5.754520131343528e-08    6823.696462069124         4175.026720282451         -4.363536076638783e-05    10 Oct 2022 00:10:21.950   
-4.289148811797313        5.617402024687241         -6.911366495329384e-07    6357.441901650363         4855.681138843229         -8.250032379784421e-05    10 Oct 2022 00:12:18.746   
-4.844945529942231        5.147380368272141         -1.867634211074139e-06    5823.559105004561         5484.878094223332         -0.0002262836853979306    10 Oct 2022 00:14:15.542   
-5.349330781766063        4.622633575501439         -3.640179669895651e-06    5227.705741933469         6055.934024191437         -0.0005420461564395571    10 Oct 2022 00:16:12.338   
-5.796931783704529        4.0487525863919           -6.003648837940848e-06    4576.183666404925         6562.794391401591         -0.001099708235002623     10 Oct 2022 00:18:09.138   
-6.182973881236772        3.431868416695462         -8.893085710001238e-06    3875.893373653628         7000.076418561566         -0.001965109436784894     10 Oct 2022 00:20:05.946   
-6.503352641997384        2.778559032841827         -1.218688993713082e-05    3134.22960186011          7363.146942490318         -0.003193207667401195     10 Oct 2022 00:22:02.765   
-6.754663179539644        2.095796253294904         -1.571418131457857e-05    2359.023316535318         7648.152124157483         -0.004821852033960928     10 Oct 2022 00:23:59.603   
